Alloy,Phase
Tb0.75Y0.25,BCC
Th0.25Zr0.75,BCC
Th0.5Zr0.5,BCC
Th0.75Zr0.25,BCC
Ti0.25U0.75,BCC
Ti0.25V0.75,BCC
Ti0.25W0.75,BCC
Ti0.25Zr0.75,BCC
Ti0.5U0.5,BCC
Ti0.5V0.5,BCC
Ti0.5W0.5,BCC
Ti0.5Zr0.5,BCC
Ti0.75U0.25,BCC
Ti0.75V0.25,BCC
Ti0.75W0.25,BCC
Ti0.75Zr0.25,BCC
U0.25Zr0.75,BCC
U0.5Zr0.5,BCC
U0.75Zr0.25,BCC
V0.1Zr0.9,BCC
V0.25W0.75,BCC
V0.5W0.5,BCC
V0.75W0.25,BCC
Ag0.05Rh0.95,FCC
Ag0.25Au0.75,FCC
Ag0.25Pd0.75,FCC
Ag0.5Au0.5,FCC
Ag0.5Pd0.5,FCC
Ag0.65Cd0.35,FCC
Ag0.6Li0.4,FCC
Ag0.75Au0.25,FCC
Ag0.75Pd0.25,FCC
Ag0.7Zn0.3,FCC
Ag0.85In0.15,FCC
Ag0.85Zn0.15,FCC
Ag0.8Cd0.2,FCC
Ag0.8Li0.2,FCC
Ag0.8Mg0.2,FCC
Ag0.8Mn0.2,FCC
Ag0.8Pt0.2,FCC
Ag0.90Al0.10,FCC
Ag0.9Mg0.1,FCC
Ag0.9Mn0.1,FCC
Ag0.9Pt0.1,FCC
Al0.05Co0.95,FCC
Al0.08Pt0.92,FCC
Al0.15Cu0.85,FCC
Al0.1Ni0.9,FCC
Al0.1Pd0.9,FCC
Al0.25Co1Cr1Fe1Ni1,FCC
Al0.375Co1Cr1Fe1Ni1,FCC
Al0.3Co1Cr1Fe1Ni1,FCC
Al0.8Zn0.2,FCC
Al0.95Li0.05,FCC
Al0.95Mg0.05,FCC
Al0.9Zn0.1,FCC
Au0.25Cu0.75,FCC
Au0.25Pd0.75,FCC
Au0.53V0.47,FCC
Au0.5Cu0.5,FCC
Au0.5Pd0.5,FCC
Au0.71V0.29,FCC
Au0.75Cu0.25,FCC
Au0.7Fe0.3,FCC
Au0.85Fe0.15,FCC
Au0.85Li0.15,FCC
Au0.85Pt0.15,FCC
Au0.8Cr0.2,FCC
Au0.8Ni0.2,FCC
Au0.95Ta0.05,FCC
Au0.9Cr0.1,FCC
Au0.9Mn0.1,FCC
Au0.9Nb0.1,FCC
Au0.9Ni0.1,FCC
Au0.9V0.1,FCC
Au0.9Zn0.1,FCC
Ca0.25Sr0.75,FCC
Ca0.25Yb0.75,FCC
Ca0.5Sr0.5,FCC
Ca0.5Yb0.5,FCC
Ca0.75Sr0.25,FCC
Co0.25Fe0.75,FCC
Co0.25Ni0.75,FCC
Co0.25Pd0.75,FCC
Co0.25Pt0.75,FCC
Co0.25Rh0.75,FCC
Co0.2Ir0.8,FCC
Co0.5Fe0.5,FCC
Co0.5Ni0.5,FCC
Co0.5Pd0.5,FCC
Co0.5Pt0.5,FCC
Co0.5Rh0.5,FCC
Co0.75Fe0.25,FCC
Co0.75Ni0.25,FCC
Co0.75Pd0.25,FCC
Co0.75Pt0.25,FCC
Co0.75Rh0.25,FCC
Co0.7Cr0.3,FCC
Co0.85Cr0.15,FCC
Co0.9Ga0.1,FCC
Co0.9Ge0.1,FCC
Co1.5Cr0.5Fe1Mn0.5Ni1,FCC
Co1Cr0.75Fe1Mn0.75Ni1,FCC
Co1Cr1.25Fe1Mn0.25Ni1,FCC
Co1Cr1Fe0.5Mn0.5Ni1.5,FCC
Co1Cr1Fe1Mn1Ni1,FCC
Co1Cr1Fe1Mo0.1Ni1,FCC
Co1Cr1Fe1Mo0.2Ni1,FCC
Co1Cr1Fe1Ni1,FCC
Co1Cr1Fe1Ni1Pd1,FCC
Co1Cr1Fe1Ni1Pd2,FCC
Co1Cr1Mn1Ni1,FCC
Co1Cr1Ni1,FCC
Co1Fe1Mn1Ni1,FCC
Co1Fe1Ni1,FCC
Co1Fe1Ni1Pd1,FCC
Cr0.1Rh0.9,FCC
Cr0.25Pt0.75,FCC
Cr0.2Rh0.8,FCC
Cr0.3Pd0.7,FCC
Cr0.5Pt0.5,FCC
Cr1Fe1Ni1,FCC
Cu0.1Rh0.9,FCC
Cu0.25Ni0.75,FCC
Cu0.25Pd0.75,FCC
Cu0.25Pt0.75,FCC
Cu0.5Mn0.5,FCC
Cu0.5Ni0.5,FCC
Cu0.5Pd0.5,FCC
Cu0.5Pt0.5,FCC
Cu0.75Mn0.25,FCC
Cu0.75Ni0.25,FCC
Cu0.75Pd0.25,FCC
Cu0.75Pt0.25,FCC
Cu0.85Li0.15,FCC
Cu0.8Rh0.2,FCC
Fe0.15Pt0.85,FCC
Fe0.25Ir0.75,FCC
Fe0.25Ni0.75,FCC
Fe0.25Pd0.75,FCC
Fe0.25Rh0.75,FCC
Fe0.5Ir0.5,FCC
Fe0.5Mn0.5,FCC
Fe0.5Ni0.5,FCC
Fe0.5Pd0.5,FCC
Fe0.75Ir0.25,FCC
Fe0.75Mn0.25,FCC
Fe0.75Ni0.25,FCC
Fe0.75Pd0.25,FCC
Fe0.75Rh0.25,FCC
Fe0.7Pt0.3,FCC
Fe0.85Pt0.15,FCC
Fe0.9Os0.1,FCC
Fe0.9Ru0.1,FCC
Ir0.25Ni0.75,FCC
Ir0.25Pt0.75,FCC
Ir0.25Rh0.75,FCC
Ir0.5Ni0.5,FCC
Ir0.5Pt0.5,FCC
Ir0.5Rh0.5,FCC
Ir0.75Ni0.25,FCC
Ir0.75Pt0.25,FCC
Ir0.75Rh0.25,FCC
Ir0.7Ru0.30,FCC
Ir0.85Ru0.15,FCC
Ir0.85W0.15,FCC
Ir0.8Mo0.2,FCC
Ir0.8Pd0.2,FCC
Ir0.95Ti0.05,FCC
Ir0.9Mo0.1,FCC
Ir0.9Nb0.1,FCC
Ir0.9Pd0.1,FCC
Ir0.9Ta0.1,FCC
Ir0.9V0.1,FCC
Mo0.15Pd0.85,FCC
Mo0.1Rh0.9,FCC
Mo0.3Pd0.7,FCC
Nb0.05Ni0.95,FCC
Nb0.1Rh0.9,FCC
Nd0.25Th0.75,FCC
Nd0.5Th0.5,FCC
Nd0.75Th0.25,FCC
Ni0.25Pd0.75,FCC
Ni0.25Pt0.75,FCC
Ni0.25Rh0.75,FCC
Ni0.5Pd0.5,FCC
Ni0.5Pt0.5,FCC
Ni0.5Rh0.5,FCC
Ni0.75Pd0.25,FCC
Ni0.75Pt0.25,FCC
Ni0.75Rh0.25,FCC
Ni0.75Zn0.25,FCC
Ni0.85Tc0.15,FCC
Ni0.85V0.15,FCC
Ni0.9Mo0.1,FCC
Ni0.9V0.1,FCC
Ni0.9W0.1,FCC
Ni0.9Zn0.1,FCC
Os0.1Pt0.9,FCC
Os0.1Rh0.9,FCC
Os0.25Rh0.75,FCC
Os0.2Pt0.8,FCC
Os0.2Rh0.8,FCC
Os0.45Rh0.55,FCC
Os0.4Rh0.6,FCC
Pb0.25Tl0.75,FCC
Pb0.5Tl0.5,FCC
Pb0.75Tl0.25,FCC
Pd0.25Pt0.75,FCC
Pd0.25Rh0.75,FCC
Pd0.5Pt0.5,FCC
Pd0.5Rh0.5,FCC
Pd0.6V0.4,FCC
Pd0.75Pt0.25,FCC
Pd0.75Rh0.25,FCC
Pd0.8V0.2,FCC
Pr0.25Th0.75,FCC
Pr0.5Th0.5,FCC
Pr0.75Th0.25,FCC
Pt0.25Rh0.75,FCC
Pt0.5Rh0.5,FCC
Pt0.5Ru0.5,FCC
Pt0.6V0.4,FCC
Pt0.75Rh0.25,FCC
Pt0.75Ru0.25,FCC
Pt0.7Re0.3,FCC
Pt0.85Zn0.15,FCC
Pt0.85Zr0.15,FCC
Pt0.8Re0.2,FCC
Pt0.8V0.2,FCC
Pt0.9Re0.1,FCC
Rh0.7Ru0.3,FCC
Rh0.85Ru0.15,FCC
Rh0.9Ta0.1,FCC
Rh0.9V0.1,FCC
Rh0.9W0.1,FCC
Sc0.1Th0.9,FCC
Sc0.3Th0.7,FCC
Sc0.5Th0.5,FCC
Tb0.25Th0.75,FCC
Tb0.5Th0.5,FCC
Al0.03Mg0.97,HCP
Al0.03Sc0.97,HCP
Al0.1Hf0.9,HCP
Al0.1Ti0.9,HCP
Cd0.25Mg0.75,HCP
Cd0.5Mg0.5,HCP
Cd0.75Mg0.25,HCP
Co0.25Os0.75,HCP
Co0.25Re0.75,HCP
Co0.25Ru0.75,HCP
Co0.5Os0.5,HCP
Co0.5Re0.5,HCP
Co0.5Ru0.5,HCP
Co0.75Os0.25,HCP
Co0.75Re0.25,HCP
Co0.75Ru0.25,HCP
Co0.7Ir0.3,HCP
Co0.8Rh0.2,HCP
Co1Fe1Re1Ru1,HCP
Cr0.05Re0.95,HCP
Cr0.1Ir0.9,HCP
Cr0.25Ir0.75,HCP
Cr0.25Os0.75,HCP
Cr0.2Ru0.8,HCP
Cr0.3Rh0.7,HCP
Cr0.45Os0.55,HCP
Cr0.4Ir0.6,HCP
Cr0.4Rh0.6,HCP
Cr0.4Ru0.6,HCP
Cr0.5Ir0.5,HCP
Cr0.5Rh0.5,HCP
Dy1Gd1Ho1Tb1Y1,HCP
Dy1Gd1Lu1Tb1Tm1,HCP
Dy1Gd1Lu1Tb1Y1,HCP
Fe0.2Os0.8,HCP
Fe0.2Ru0.8,HCP
Fe0.5Os0.5,HCP
Fe0.5Ru0.5,HCP
Fe0.6Os0.4,HCP
Fe0.6Ru0.4,HCP
Gd1Ho1La1Tb1Y1,HCP
Hf0.25Sc0.75,HCP
Hf0.25Ti0.75,HCP
Hf0.25Zr0.75,HCP
Hf0.5Sc0.5,HCP
Hf0.5Ti0.5,HCP
Hf0.5Zr0.5,HCP
Hf0.75Sc0.25,HCP
Hf0.75Ti0.25,HCP
Hf0.75Zr0.25,HCP
Ir0.25Tc0.75,HCP
Ir0.2Ru0.8,HCP
Ir0.4Ru0.6,HCP
Ir0.5Mo0.5,HCP
Ir0.5Tc0.5,HCP
Ir0.5W0.5,HCP
Ir0.6W0.4,HCP
Ir0.7W0.3,HCP
Li0.1Mg0.9,HCP
Mo0.07Re0.93,HCP
Mo0.1Rh0.9,HCP
Mo0.1Ru0.9,HCP
Mo0.25Rh0.75,HCP
Mo0.25Ru0.75,HCP
Mo0.2Os0.8,HCP
Mo0.2Rh0.8,HCP
Mo0.2Ru0.8,HCP
Mo0.35Os0.65,HCP
Mo0.35Ru0.65,HCP
Mo0.3Os0.7,HCP
Mo0.3Rh0.7,HCP
Mo0.3Ru0.7,HCP
Mo0.4Rh0.6,HCP
Mo0.5Pd0.5,HCP
Mo0.5Rh0.5,HCP
Mo1Pd1Rh1Ru1,HCP
Nb0.1Os0.9,HCP
Nb0.2Os0.8,HCP
Ni0.1Os0.9,HCP
Ni0.1Ru0.9,HCP
Ni0.1Tc0.9,HCP
Ni0.25Os0.75,HCP
Ni0.25Tc0.75,HCP
Ni0.2Ru0.8,HCP
Ni0.3Ru0.7,HCP
Ni0.4Tc0.6,HCP
Os0.25Re0.75,HCP
Os0.25Ru0.75,HCP
Os0.5Re0.5,HCP
Os0.5Ru0.5,HCP
Os0.75Re0.25,HCP
Os0.75Ru0.25,HCP
Os0.7V0.3,HCP
Os0.7W0.3,HCP
Os0.85Rh0.15,HCP
Os0.8Ta0.2,HCP
Os0.8V0.2,HCP
Os0.8W0.2,HCP
Os0.9Ti0.1,HCP
Os0.9V0.1,HCP
Os0.9W0.1,HCP
Pt0.15Ru0.85,HCP
Pt0.1Re0.9,HCP
Pt0.25Re0.75,HCP
Pt0.35Re0.65,HCP
Pu0.1Sc0.9,HCP
Pu0.25Sc0.75,HCP
Re0.25Ru0.75,HCP
Re0.25Tc0.75,HCP
Re0.5Ru0.5,HCP
Re0.5Tc0.5,HCP
Re0.75Ru0.25,HCP
Re0.75Tc0.25,HCP
Re0.9W0.1,HCP
Rh0.25Ru0.75,HCP
Rh0.25Tc0.75,HCP
Rh0.5Ru0.5,HCP
Rh0.5Tc0.5,HCP
Rh0.6W0.4,HCP
Ru0.7W0.3,HCP
Ru0.85Ta0.15,HCP
Ru0.8V0.2,HCP
Ru0.8W0.2,HCP
Ru0.9V0.1,HCP
Ru0.9W0.1,HCP
Sc0.25Y0.75,HCP
Sc0.25Zr0.75,HCP
Sc0.5Y0.5,HCP
Sc0.5Zr0.5,HCP
Sc0.75Y0.25,HCP
Sc0.75Zr0.25,HCP
Sm0.25Y0.75,HCP
Sm0.5Y0.5,HCP
Sm0.75Y0.25,HCP
Tb0.25Tm0.75,HCP
Tb0.25Y0.75,HCP
Tb0.5Tm0.5,HCP
Tb0.5Y0.5,HCP
Tb0.75Tm0.25,HCP
Tb0.75Y0.25,HCP
Ti0.25Zr0.75,HCP
Ti0.5Zr0.5,HCP
Ti0.75Zr0.25,HCP
Al0.25Co1Cr1Cu0.75Fe1Ni1,BCC+FCC
Al0.25Cr1Cu1Fe1Ni2,BCC+FCC
Al0.3Cr1Fe1.5Mn1Ni0.5,BCC+FCC
Al0.3Cr1Fe1Ni1V1,BCC+FCC
Al0.4Co1Cr1Fe1Mn1Ni1V1,BCC+FCC
Cr2Cu1Fe2Mn1Ni1,BCC+FCC
Al0.75MoNbTiV,BCC
Al0.25MoNbTiV,BCC
Al0.2MoTaTiV,BCC
Al0.5CrNbTi2V0.5,BCC
Al0.5MoNbTiV,BCC
Al0.6MoTaTiV,BCC
Al1.5MoNbTiV,BCC
AlCr0.5NbTiV,BCC
AlCrMoNbTi,FCC
AlMoNbTiV,BCC
MoTaTiV,BCC
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,BCC
Hf0.5Mo0.5NbTiZr,BCC
Hf0.5Nb0.5Ta0.5Ti1.5Zr,BCC
Hf0.75NbTa0.5Ti1.5Zr1.25,BCC
Hf1.375Nb0.25Ta0.25Ti1.75Zr1.375,BCC
HfMo0.25NbTaTiZr,BCC
HfMo0.5NbTaTiZr,BCC
HfMo0.75NbTaTiZr,BCC
HfMo1.0NbTaTiZr,BCC
HfMo0.5NbTiV0.5,BCC
Al0.0HfNbZrTaTi,BCC
Ti20Hf20Zr20Ta20Nb20,BCC
TiHfZrTaNb,BCC
HfNbTaZr,BCC
HfTaTiZr,BCC
Mo0.1NbTiV0.3Zr,BCC
Mo0.3NbTiV0.3Zr,BCC
Mo0.3NbTiVZr,BCC
Mo0.5NbTiV0.3Zr,BCC
Mo0.5NbTiVZr,BCC
Mo0.7NbTiV0.3Zr,BCC
Mo0.7NbTiVZr,BCC
Mo1.3NbTiV0.3Zr,BCC
Mo1.3NbTiVZr,BCC
Mo1.5NbTiV0.3Zr,BCC
MoNbTaTi0.25W,BCC
MoNbTaTi0.5W,BCC
MoNbTaTi0.75W,BCC
MoNbTaTiW,BCC
MoNbTaV,BCC
Nb25Mo25Ta25W25,BCC
MoNbTiV,BCC
MoNbTiV0.3Zr,BCC
NbTiV0.3Zr,BCC
CoFeNiSi0.0,FCC
CoFeNiSi0.5,IM
CoFeNiSi0.75,IM
Al0.5CoFeNi,BCC+FCC
Al0.75CoFeNi,BCC+FCC
CoCrFeNb0.0Ni,FCC
CoCrFeNb0.103Ni,IM
CoCrFeNb0.155Ni,IM
CoCrFeNb0.206Ni,IM
CoCrFeNb0.309Ni,IM
CoCrFeNb0.412Ni,IM
AlC0.1CoCrFeNi,IM
AlC0.2CoCrFeNi,IM
AlC0.3CoCrFeNi,IM
AlC0.4CoCrFeNi,IM
AlC0.5CoCrFeNi,IM
AlCCoCrFeNi,IM
AlCoCrFeMo0.2Ni,IM
AlCoCrFeMo0.3Ni,IM
AlCoCrFeMo0.4Ni,IM
AlCoCrFeMo0.5Ni,IM
AlCoCrFeNiSi0.6,BCC
AlCoCrFeNiSi0.8,IM
AlCoCrFeNiSi,IM
CoCrCu1FeNiTi0.5,FCC
Ti0.5CrFeCoNiAl,BCC
AlCoCrFeNiTi,BCC
AlCoCrFeNiTi1.5,IM
CoCrFeMnNiV0.0,FCC
CoCrFeMnNiV0.5,FCC
CoCrFeMnNiV0.75,IM
CoCrFeMnNiV1.0,IM
AlCrFeNIMo0.0,BCC
AlCrFeNIMo0.2,BCC
AlCrFeNIMo0.5,BCC
AlCrFeNIMo0.8,IM
AlCrCuFeNi0.6,IM
AlCrCuFeNi0.8,IM
AlCrCuFeNi1.2,IM
AlCrCuFeNi1.4,IM
Hf25Nb25Ti25Zr25,BCC
HfMoNbTiZr,IM
VCrFeTa0.1W0.1,BCC
VCrFeTa0.2W0.2,BCC
VCrFeTa0.4W0.4,IM
Al65Cu5Fe5Mg5Si15Zn5,IM
Al65Cu5Mg5Ni5Si15Zn5,IM
Al70Cr5Cu5Mg5Si10Zn5,IM
Al70Cu5Mg5Mn5Si10Zn5,IM
Al70Cu5Mg5Si10Zn5Zr5,IM
MoNbHfZrTi,BCC
CoCrFeNiTi0.5Al,BCC
NbCrMo0.5Ta0.5TiZr,IM
CuNiAlCoCrFe,BCC+FCC
CrMoNbTiV,BCC
CrMoNbTiZr,IM
AlCoCrFeNiTi0.2,BCC
NiCoCr,FCC
MoNbTaTiV,BCC
ZrTiHfV0.5Nb0.5,BCC
Zr2.0TiHfVNb2.0,BCC
ZrTiHfNb0.5Mo0.5,BCC
ZrTiHfNb0.5Ta0.5,BCC
NbTiZr,BCC
Ta10Nb30Ti30Zr30,BCC
Cr10Nb30Ti30Zr30,BCC
Al0.3HfNbTaTiZr,BCC
Al0.5HfNbTaTiZr,BCC
Al0.75HfNbTaTiZr,BCC
Al1.0HfNbTaTiZr,BCC
NbTaTiZr,BCC
NbTaTi30Zr,BCC
NbTaTi35Zr,BCC
NbTaTi40Zr,BCC
NbTaTi45Zr,BCC
Ti35Zr27.5Hf27.5Nb5Ta5,BCC
Ta0.6ZrHfTi,BCC
Ta0.5ZrHfTi,BCC
Ta0.4ZrHfTi,BCC
Ti40Zr25Nb25Ta10,BCC
Ti45Zr25Nb25Ta5,BCC
Ti35Zr25Nb25Ta15,BCC
Ti30Zr25Nb25Ta20,BCC
Ti25Zr25Nb25Ta25,BCC
AlCoCrFeNiV0.0,BCC
AlCoCrFeNiV0.2,BCC
AlCoCrFeNiV0.5,BCC
AlCoCrFeNiV0.8,BCC
AlCoCrFeNiV1.0,BCC
Al1.8CoCrFeNiTi0.2,IM
Al1.5CoCrFeNiTi0.5,IM
Al1.2CoCrFeNiTi0.8,BCC
Al0.8CoCrFeNiTi1.2,IM
Al0.5HfNbTiZr,BCC
Al0.75HfNbTiZr,BCC
AlHfNbTiZr,BCC
Al1.25HfNbTiZr,BCC
Al1.5HfNbTiZr,BCC
Al5Nb24Ti40V5Zr26,BCC
Fe50Mn30Co10Cr10,IM
Fe37Mn45Co9Cr9,FCC
CoFeNi2V0.5Mo0.2,FCC
Al10Co25Cr8Fe15Ni36Ti6,IM
Al0.3CoCrCu0.3FeNi,FCC
CrCoFeNIMn,FCC
TiZrHfCr0.2Mo,BCC
Cr26Mn20Fe20Co20Ni14,FCC
Ti1.89CrNbV0.56,IM
HfNbTaTiZrW,BCC
HfNbTaTiZrMoW,BCC
Ti2ZrHf0.5V,BCC
Ti2ZrHf0.5VNb0.25,BCC
Ti2ZrHf0.5VNb0.5,BCC
Ti2ZrHf0.5VNb0.75,BCC
Ti2ZrHf0.5VNb1.0,BCC
ZrTiHfCuNiFe,BCC
AlCrFeCoNi,BCC
CoCrFeNIMo0.2,FCC
Ti40Zr10Ni40Co5Cu5,IM
Ti30Zr20Ni30Co10Cu10,IM
Ti25Zr25Ni16.67Co16.67Cu16.67,IM
Ti30Zr10Hf10Ni30Co10Cu10,IM
Ti20Zr15Hf15Ni20Co15Cu15,IM
CoCuHfNiTiZr,IM
CrFeMnV,BCC
CrMn0.3FeVCu0.06,BCC+FCC
CrMn0.5FeVCu0.10,BCC+FCC
CrMn0.7FeVCu0.14,BCC+FCC
CrMnFeVCu0.20,BCC+FCC
(CoCrCuFeNi)96Nb4,FCC
(CoCrCuFeNi)92Nb8,IM
(CoCrCuFeNi)88Nb12,IM
(CoCrCuFeNi)84Nb16,IM
Co28.2Cr5.92Mo0.62Mn0.50Si0.13N0.04C,FCC
Al40Cu15Cr15Fe15Si15,IM
Al60Cu10Fe10Cr5Mn5Ni5Mg5,IM
Al65Cu5Cr5Si15Mn5Ti5,IM
Al80Mg14Zn2.7Cu2.7Si0.60,IM
Al85Mg10.5Zn2.025Cu2.025Si0.45,IM
Al90Mg7.1Zn1.35Cu1.35Si0.3,IM
Al0.5NbTiVZr,IM
Al26.6Nb23.8Ti25.1V24.5,BCC
AlLIMgZnSn,IM
Al80Li5Mg5Zn5Sn5,IM
Al80Li5Mg5Zn5Cu5,IM
CrMnFeCoNi,FCC
AlCrFeMnNi,BCC
Al8Co17Cr17Cu8Fe17Ni33,FCC
Al0.5CoCrFeMnNi,BCC+FCC
CoCrFeNiV0.25,FCC
CoCrFeNiV0.5,IM
CoCrFeNiV0.7,IM
CoCrFeNiV0.8,IM
CoCrFeNiV0.9,IM
CoCrFeNiV,IM
(CoCrFeMnNi)99C1,FCC
Fe19.96Mn19.96Ni19.96Co19.96Cr19.96C0.2,FCC
Fe19.96Mn19.96Ni19.96Co19.96Cr19.96C0.5,FCC
Fe19.96Mn19.96Ni19.96Co19.96Cr19.96C0.8,FCC
Fe45Cr10V10Co10Ni25,FCC
Fe45Cr10V10Co20Ni15,FCC
Fe45Cr10V10Co30Ni5,IM
Fe45Cr10V10Co35,IM
CoCrFeNiAl,BCC
AlCoCrNi,IM
V10Cr15Mn5Fe35Co10Ni25,FCC
Co17.5Cr12.5Fe55Ni10Mo5,FCC
Co18Cr12.5Fe55Ni7Mo7.5,FCC
TaNbHfZrTi,BCC
AlMo0.5NbTiTa0.5Zr,IM
TiVZrHfNb,IM
HfNbTiVZr,BCC
Zr20Hf20Nb20Ti20V20,BCC
CrHfNbTiZr,IM
NbTiV3Zr,BCC
NbTiV4Zr,BCC
NbTiV5Zr,BCC
CrNbTiZr,IM
CrNbTiVZr,IM
VNbMoTaW,BCC
Al7.5CoCrNi,IM
(CoCrNi)94Al3Ti3,IM
FeCoNiCr,FCC
(FeCoNiCr)94Ti2Al4,FCC
CoCrCuAl0.5FeNi,IM
FeNiCoCr,FCC
CoCrFeMnNiNbC,FCC
CoCrMoNbTi,IM
CoCrMoNbTi0.2,IM
CoCrMoNbTi0.5,IM
CoCrMoNbTi1.0,IM
AlCoCrFeNiC1.5,IM
Fe36Ni18Mn33Al13Ti0.0,IM
Fe36Ni18Mn33Al13Ti2.0,IM
Fe36Ni18Mn33Al13Ti4.0,IM
Fe36Ni18Mn33Al13Ti6.0,IM
Fe30Ni20Mn35Al15,IM
Fe33Ni19Mn34Al14,IM
Fe29Ni19Mn38Al14,IM
Fe31Ni18Mn38Al13,IM
Fe33Ni17Mn38AIM,IM
Fe34Ni16Mn39Al11,IM
Al0.3CrFe1.5MnNi,BCC
Al0.3CrFe1.5MnNi0.5Ti0.2,BCC
Al0.3CrFe1.5MnNi0.5Si0.2,IM
Al25Ti25Ni25Cu25,FCC
Al22.5Ti22.5Ni20Cu20Fe15,FCC
AlTiNiCuFe,FCC
Al0.5CoCrFeNiTi0.5,BCC+FCC
Al0.8CoCrFeNiTi0.2,BCC+FCC
CoCrFeNIMnC0.01,FCC
CoCrFeNiAl0.3,IM
FeMnNiCoCr,FCC
Fe40Mn27Ni26Co5Cr2,FCC
Fe40Mn40Co10Cr10,FCC
Co20Cr20Fe20Mn20Ni20,FCC
Co20Cr20Fe34Mn20Ni6,FCC
Co20Cr20Fe40Mn20,FCC
AlNbTiV,BCC
AlCrNbTiV,IM
Al18Cr28Nb18Ti18V18,IM
Al0.0HfNbTiZr,BCC
Al3(HfNbTiZr)97,BCC
Al5(HfNbTiZr)95,BCC
Al7(HfNbTiZr)93,BCC
Al10 (HfNbTiZr)90,IM
AIM(HfNbTiZr)88,IM
Al0.2CrFeCoNi2Cu0.2,FCC
Al0.3CuCrFeNi2,FCC
Al0.2Co1.5CrFeNi1.5Ti0.3,IM
AlHfNbTaTiZr,BCC
Hf0.5Mo0.5NbTiZrC0.1,IM
Hf0.5Mo0.5NbTiZrC0.3,IM
Al0.5NbTa0.8Ti1.5V0.2Zr,IM
Mo0.5NbHf0.5ZrTiSi0.1,BCC
Mo0.5NbHf0.5ZrTiSi0.3,IM
Mo0.5NbHf0.5ZrTiSi0.5,IM
Mo0.5NbHf0.5ZrTiSi0.7,IM
Mo0.5NbHf0.5ZrTiSi0.9,IM
HfMo0.5NbTiV0.5Si0.3,IM
HfMo0.5NbTiV0.5Si0.5,IM
HfMo0.5NbTiV0.5Si0.7,IM
MoNb0.5HfZrTi,BCC
MoNb1.5HfZrTi,BCC
MoNbHfZrTi0.5,BCC
MoNbHfZrTi1.5,BCC
MoNbHfZr0.5Ti,BCC
MoNbHfZr1.5Ti,BCC
MoNbHf0.5ZrTi,BCC
MoNbHf1.5ZrTi,BCC
Mo0.5NbHf0.5ZrTi,BCC
Mo1.5NbHfZrTi,BCC
FeCoNiCrMn,FCC
Fe19.6Co19.6Ni19.6Cr19.6Mn19.6Al2,FCC
Fe19.2Co19.2Ni19.2Cr19.2Mn19.2Al4,FCC
Fe18.6Co18.6Ni18.6Cr18.8Mn18.8Al7,BCC+FCC
Fe18.4Co18.4Ni18.4Cr18.4Mn18.4Al8,BCC+FCC
Fe18.2Co18.2Ni18.2Cr18.2Mn18.2Al9,BCC+FCC
Fe18Co18Ni18Cr18Mn18Al10,BCC+FCC
Fe17.8Co17.8Ni17.8Cr17.8Mn17.8Al11,BCC+FCC
TiZrNbV,BCC
TiZrNbVMo1.7,BCC
TiZrNbVMo2.0,BCC
CoCrCuFeNiTi0.8,IM
CrFeCoNiCuTi0.5,IM
CrFeCoNiCu,FCC
Cu0.25AlCoCrFeNiTi0.5,BCC
Cu0.5AlCoCrFeNiTi0.5,BCC
AlCrFeCoNiCu,BCC+FCC
AlCrFeCoNiCuTi,BCC+FCC
AlCrFeCoNiCuV,BCC+FCC
Co25Ni25Fe25Al7.5Cu17.5,FCC
V10Cr10Fe45Co10Ni25,FCC
V10Cr10Fe45Co20Ni15,FCC
V10Cr10Fe45Co30Ni5,BCC+FCC
V10Cr10Fe45Co35Ni0,BCC+FCC
Re10Nb30Ti30Zr30,IM
VCrFeTa0.3W0.3,BCC
CrFeTaVW,IM
HfMoNbTaTiZr,IM
HfMoTaTiZr,BCC
HfMoNbTaZr,BCC
HfMoNbTaTi,BCC
CoNi,FCC
Ni18.5Fe18.5Cr18.5Co26Mn18.5,IM
Ni14Fe20Cr26Co20Mn20,BCC+FCC
NiFeCrCoMn,IM
Fe70.04Mn28Al1.6Si0.28C0.08,IM
Fe73.03Mn25Al1.6Si0.24Nb0.05C0.08,IM
Fe68.25Mn27Al4.1Si0.52Nb0.05C0.08,IM
Ni30Co30Cr10Fe10Al18W2,IM
CoCrFeNIMo0.1,FCC
CoCrFeNIMo0.3,IM
FeCrCoMnNi,FCC
Cr20Fe6Co34Ni34Mo6,FCC
Al0.5Cr0.9FeNi2.5V0.2,FCC
Fe36Ni18Mn33Al13C1.26,IM
Fe36Ni18Mn33Al13,IM
Fe40.4Ni11.3Mn34.8Al7.5Cr6C1.1,FCC
Fe28Ni18Mn33Al21,IM
NbTaTi,BCC
Nb1.5TaTiZr0.5,BCC
Fe22Co20Ni19Cr20Mn12Al7,IM
CoCrFeNiTi0.2,IM
Fe20Co27Ni13Cr20Mn20,FCC
AlCoCrFeMo0.05Ni2,IM
Ti2ZrHf0.5VNb,BCC
AlCr1.5NbTiV,IM
HfNb0.18Ta0.18Ti1.27Zr,BCC
Fe34Cr34Ni14Al14Co4,BCC
Fe36Co21Cr18Ni15Al10,IM
TiZrNbMo,BCC
TiZrNbMoV0.25,BCC
TiZrNbMoV0.5,BCC
TiZrNbMoV0.75,BCC
